POINT_X,POINT_Y,AGB_T_HA_2018,AGB_T_HA_2010,AGB_T_HA_SD_2018,AGB_T_HA_SD_2010
-54.98220109,-3.11345988,0.213226145,52.61672902,2.786746368,38.74129346
-54.98220109,-3.11255588,1.593037582,4.535522124,8.001386448,12.30007472
-54.98220109,-3.11165188,30.2325126,23.20142036,29.19510088,25.57348385
-54.98220109,-3.11074788,76.56969843,46.25572219,45.26657477,35.41251023
-54.98220109,-3.10984388,58.13647497,46.94985376,39.80171249,35.8036996
-54.98220109,-3.10893988,16.74909488,48.73369944,21.81272979,36.99827836
-54.98220109,-3.10803588,14.32859382,37.14739224,20.19286229,31.97534194
-54.98220109,-3.10713188,24.74327478,15.11232219,26.45823159,20.89226161
-54.98220109,-3.10622788,30.37939158,39.5575869,29.34803301,32.84425356
-54.98220109,-3.10532388,30.43235681,39.58695099,29.26395509,32.85049635
-54.98130209,-3.13063588,0.268474777,0.140424085,3.042013444,2.24491005
-54.98130209,-3.12973188,0.404459099,0.236354288,3.993739591,3.723793013
-54.98130209,-3.12882788,5.267495709,7.562450154,12.74572769,15.61006391
-54.98130209,-3.12792388,3.261574342,35.76530936,10.96554837,33.06434145
-54.98130209,-3.12701988,50.86753833,91.44449306,38.44394469,51.39407435
-54.98130209,-3.12611588,84.34787467,85.68257541,48.50489528,48.30369574
-54.98130209,-3.12521188,23.19386018,83.02567876,25.40909511,47.16120824
-54.98130209,-3.12430788,25.09257582,95.31172715,26.39764473,50.37940087
-54.98130209,-3.12340388,39.31523763,90.91724895,32.7647933,49.29895141
-54.98130209,-3.12249988,34.19955156,97.71806437,31.25339357,51.01382622
-54.98130209,-3.12159588,82.19412617,92.94856879,48.03888013,49.78679732
-54.98130209,-3.12069188,7.734697656,121.2795503,17.34668874,56.87915151
-54.98130209,-3.11978788,0.140176127,127.3465872,2.225157512,58.24625486
-54.98130209,-3.11888388,0.145482593,97.77664256,2.2656126,51.20780595
-54.98130209,-3.11797988,0.156903054,43.8820708,2.347950578,34.5218006
-54.98130209,-3.11707588,0.181926081,47.76241876,2.519045864,36.00876311
-54.98130209,-3.11617188,0.202745895,46.16720839,2.653114695,35.40821744
-54.98130209,-3.11526788,0.187016822,52.64366938,2.551730699,37.83103645
-54.98130209,-3.11436388,0.175148903,30.4985263,2.477676376,29.09578314
